,base,ftune,ftunernd
675,5.0,8.377285,4.891037
676,5.0,6.7218676,4.891037
677,5.0,8.377285,4.891037
678,5.0,7.609944,4.891037
679,5.0,1.8124565,3.7679272
680,5.0,8.874225,4.891037
681,5.0,1.0400379,3.1047633
682,5.0,7.609944,4.891037
683,5.0,6.577245,4.8221903
684,5.0,8.874225,4.891037
685,5.0,6.244505,4.963682
686,5.0,8.049671,4.891037
687,5.0,7.447336,4.891037
688,5.0,8.498691,4.999961
689,5.0,5.7403793,4.7657924
690,5.0,6.238235,4.891037
691,5.0,8.377285,4.891037
692,5.0,5.470159,4.8551006
693,5.0,6.1162186,4.891037
694,5.0,2.5514772,3.4845994
695,5.0,5.4746523,4.7439923
696,5.0,8.874225,4.891037
697,5.0,4.179137,4.922241
698,5.0,8.874225,4.891037
699,5.0,6.8919454,4.891037
700,5.0,7.8052607,4.891037
701,5.0,7.609944,4.891037
702,5.0,7.4917407,4.839252
703,5.0,8.789246,4.8158145
704,5.0,7.447336,4.891037
705,5.0,4.7489753,4.891588
706,5.0,7.3855596,4.773246
707,5.0,6.7358117,4.891037
708,5.0,8.375448,4.8909917
709,5.0,8.377285,4.891037
710,5.0,8.377285,4.891037
711,5.0,6.8919454,4.891037
712,5.0,5.94518,4.950733
713,5.0,5.860448,4.782062
714,5.0,6.428951,4.891037
715,5.0,3.6021736,4.6958046
716,5.0,7.3592887,4.8630395
717,5.0,6.602219,4.751364
718,5.0,8.874225,4.891037
719,5.0,6.165913,4.891037
720,5.0,8.377285,4.891037
721,5.0,3.8221724,4.6328516
722,5.0,7.1862335,4.891037
723,5.0,5.4221873,4.812605
724,5.0,5.2505584,4.9090247
725,5.0,8.049671,4.891037
726,5.0,8.874225,4.891037
727,5.0,8.874225,4.891037
728,5.0,8.377285,4.891037
729,5.0,7.1862197,4.891037
730,5.0,7.8052607,4.891037
731,5.0,7.447336,4.891361
732,5.0,6.7358117,4.891037
733,5.0,6.262322,4.9501195
734,5.0,4.2740417,4.2614546
735,5.0,5.493167,4.903681
736,5.0,5.0295677,4.7799625
737,5.0,2.5343418,4.1557355
738,5.0,5.384583,4.638133
739,5.0,7.8052773,4.893765
740,5.0,8.874225,4.891037
741,5.0,8.377285,4.904047
742,5.0,6.379897,4.7727075
743,5.0,6.8887258,4.8910346
744,5.0,7.447336,4.891037
745,5.0,6.607438,4.7726746
746,5.0,8.377285,4.891037
747,5.0,2.2833502,4.351576
748,5.0,8.874225,4.891037
749,5.0,8.874225,4.891037
750,5.0,5.3901787,4.735436
751,5.0,8.049671,4.891037
752,5.0,7.609944,4.891037
753,5.0,4.3220797,4.598409
754,5.0,4.588805,4.6689467
755,5.0,7.282324,4.891037
756,5.0,8.377285,4.891037
757,5.0,8.874225,4.891037
758,5.0,6.0724134,4.798324
759,5.0,3.4873676,4.649273
760,5.0,8.377285,4.891037
761,5.0,4.7748885,4.6736407
762,5.0,7.4195685,4.845356
763,5.0,7.1862335,4.891037
764,5.0,8.021308,4.8428593
